name,address,latitude,longitude,rating,rating_count,place_id
Boulderhal Sterk,"Koningin Wilhelminalaan 4b, Utrecht",52.0763889,5.1083333,4.5,373,ChIJQ_xDvPRlxkcRRGI5Zi_u8KY
Brewpub De Kromme Haring,"Europalaan 2C, Utrecht",52.0756178,5.1076922,4.7,836,ChIJMawspvRlxkcR5XDymp9-a-g
La sosta,"Van Starkenborghhof 9, Utrecht",52.074065,5.093634799999999,3.9,194,ChIJXdcSXI9lxkcRmMrdShLyfBQ
Babylonn Lounge,"Admiraal Helfrichlaan 62, Utrecht",52.0796639,5.0939757,4.0,13,ChIJGaZX2YdlxkcR2VpgtVLMdaA
"The Team Building - Fusion Drift, Escape rooms, Real Axe Throwing, Nox Room en Social Games","Admiraal Helfrichlaan 6, Utrecht",52.0830133,5.0981348,4.6,1207,ChIJtQzSwE1vxkcRwgHBHx5OrS4
Kantine Utrecht,"In Vechtclub XL, Europalaan 2b, Utrecht",52.075568,5.107379700000001,5.0,24,ChIJH-PBT8tlxkcR6xcD_W7qUF4
Boerderijcafé Eilandsteede | Utrecht Natuurlijk,"Vreugdenhillaan 31, Utrecht",52.0695774,5.1039088,4.1,18,ChIJW_BkAPplxkcRx283x9gWT5Q
De Fabrieksbar,"Everard Meijsterlaan 1b, Utrecht",52.08861419999999,5.090360499999999,5.0,1,ChIJ6U-ACwBvxkcRjoo5kUgAoAc
Skybar Crowsnest,"Croeselaan 301, Utrecht",52.0805234,5.1125286,4.6,11,ChIJNX6e1pNlxkcRqipzMGlc5jY
Uncle Jim,"Croeselaan 91, Utrecht",52.086133,5.107217699999999,4.2,870,ChIJW47b4vdvxkcR9ykfLTFUiJs
Star Lodge Hotels,"Biltsestraatweg 92, Utrecht",52.09836439999999,5.152379899999999,4.1,780,ChIJrbSUN7hoxkcRuw09VXVceB4
Hercules Paviljoen,"Voorveldselaan 2, Utrecht",52.1073027,5.1481552,4.6,5,ChIJYxlE785oxkcRYaugLmRIrPU
Melissa Beauty,"Winklerlaan 365, 15, Utrecht",52.1096348,5.137893200000001,5.0,46,ChIJ6bBZAGRvxkcRpghlDBnIXd0
De Helling,"Helling 7, Utrecht",52.07690479999999,5.1216576,4.5,1353,ChIJU4QsyPllxkcRuVt3rkK4ai8
LE:EN,"Heuveloord 140, Utrecht",52.0751687,5.1214776,4.2,1775,ChIJ0aBbFPhlxkcR3d4t7bAuhRA
Little Berlin,"Helling 22, Utrecht",52.0766435,5.1219286,4.3,670,ChIJ96V2xvllxkcR_SIc40UeuEo
UTTC Tafeltennisvereniging🏓,"Duurstedelaan 14a, Utrecht",52.0647494,5.1203858,4.6,26,ChIJ8ULb2-VlxkcRadnwcf4DfO8
Cafe Brutal,"Heuveloord 25, Utrecht",52.07546680000001,5.120797,4.6,44,ChIJPceK8PllxkcRziVG0Y4hwHE
Hotel ZimmerPas,"Verlengde Hoogravenseweg 152, Utrecht",52.0653436,5.1174658,5.0,1,ChIJlSLjGuplxkcRQJjvLv01QVk
Eleven Bar,"Eendrachtlaan 100, Utrecht",52.06392760000001,5.110774300000001,5.0,13,ChIJn1mMkjBlxkcRxd1DIlDBc6Q
Café Ons Honk🍺,"Jutfaseweg 28, Utrecht",52.07620240000001,5.120503200000002,4.7,44,ChIJYdr43_llxkcRUl-TAc86SyA
Café Biljart Cobus🍺,"Jutfaseweg 27, Utrecht",52.0763833,5.1205081,4.0,52,ChIJE45p3vllxkcRC5fJHRj5h9Q
Taplokaal Gist,"Helling 9, Utrecht",52.0765373,5.121426,4.5,848,ChIJne4yo_llxkcRpUMEA-34gWs
Nostro Bar,"Vondellaan 15a, Utrecht",52.0788424,5.116764499999999,4.7,286,ChIJYdb7OXhlxkcRII-eXWsyIEE
Muggen worden gegeten door vogels🍷,"Gansstraat 24, Utrecht",52.0805305,5.125384399999999,4.9,83,ChIJgeMg3IxvxkcRHIpFGrzVdWM
Eetcafé de Poort Utrecht,"Tolsteegbarrière 2, Utrecht",52.0819312,5.1235275,4.2,1547,ChIJl1hWuldvxkcRaFEI-_PBBYs
Intratuin Utrecht,"Koningsweg 87, Utrecht",52.0754917,5.1368347,4.2,3376,ChIJ--YNHAFmxkcRXis8PAxfOm8
Cafe Lijn 4,"Twijnstraat 3, Utrecht",52.08359819999999,5.123251999999999,4.4,423,ChIJ4XHfEldvxkcR70fjrOIreWk
Rubens Proeflokaal,"Nieuwegracht 197, Utrecht",52.08479789999999,5.127377099999999,4.8,351,ChIJZ51UsFZvxkcRCXS9FdjvKWQ
Stichtse Taveerne,"Twijnstraat 43, Utrecht",52.0828229,5.123321999999999,4.2,542,ChIJ48tsCldvxkcRQNlImP-bjyg
De Morgenster,"Oudegracht 323, Utrecht",52.08497,5.122183000000001,4.4,350,ChIJ-QM-UVdvxkcR_wXqsakke00
Brothers In Law Taphouse - Cafe | Restaurant | Borrel,"Ledig Erf 36, Utrecht",52.0810033,5.1246819,4.5,457,ChIJyatehVRvxkcR41oaRzvxUTk
Café Ledig Erf,"Tolsteegbrug 3, Utrecht",52.0816975,5.123524800000001,4.2,743,ChIJSbWiuVdvxkcR73J839w3-5A
Manners Cocktail Lounge,"Twijnstraat 15, Utrecht",52.0832773,5.123217899999999,4.8,90,ChIJNX3Hu6tvxkcRRn8j2j-UfuE
Papi’s Comfort Kitchen,"Twijnstraat 15, Utrecht",52.0832773,5.123217899999999,4.7,564,ChIJ0XRI4o5vxkcRAu2xcA2NpRk
ZiZo,"Oudegracht 281, Utrecht",52.0861339,5.1219126,4.5,259,ChIJvaoGqFBvxkcRL2GpEprPMNI
Champions Sportsbar & Grill,"Oudegracht 261, Utrecht",52.0868401,5.1215468,4.6,615,ChIJlyrkD2lvxkcRFu_ir2CCRMs
Het Drankentheater,"Jacob Catsstraat, Utrecht",52.0821446,5.112957100000001,3.0,1,ChIJi3IngUFvxkcR3CPGuWINZC4
Veldkampplein,"Lange Nieuwstraat 6, Utrecht",52.08829809999999,5.1230467,4.9,11,ChIJU1kUUo9vxkcRIBRtiEq7GTw
The Fools Cocktail Bar,"Hamburgerstraat 14, Utrecht",52.088583,5.1221806,4.8,163,ChIJjcl2cRFvxkcRp1MRkUcbkLo
Bob,"Springweg 62, Utrecht",52.087872,5.119436500000001,5.0,3,ChIJF4MLHklvxkcRjoceJ9vgkvk
Boerderijcafé Koppelsteede | Utrecht Natuurlijk,"Koppeldijk 115, Utrecht",52.0569755,5.1379243,5.0,26,ChIJKU8DhThnxkcRl-XqJllfsjI
Stadsboerderij Griftsteede | Utrecht Natuurlijk,"Van Swindenstraat 129, Utrecht",52.10182520000001,5.1281458,4.6,599,ChIJs2BPKTZvxkcRZfuo4QNF6AI
